file_name,left,forward,right
images/all/107087828.jpg,0,0,1
images/all/130354291.jpg,1,0,0
images/all/115020370.jpg,0,1,0
images/all/117253671.jpg,0,0,1
images/all/132187860.jpg,0,1,0
images/all/94020533.jpg,0,1,0
images/all/114287755.jpg,0,0,1
images/all/117221315.jpg,0,0,1
images/all/142986799.jpg,1,0,0
images/all/128054301.jpg,0,1,0
images/all/162315000.jpg,0,1,0
images/all/244744000.jpg,1,0,0
images/all/325331000.jpg,0,1,0
images/all/214065000.jpg,0,0,1
images/all/51698000.jpg,0,0,1
images/all/118117000.jpg,0,1,0
images/all/219939000.jpg,0,1,0
images/all/253287000.jpg,1,0,0
images/all/173627000.jpg,0,0,1
images/all/133727000.jpg,0,1,0
